SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
52000358,7.80,7.00,9.40,7.00,6.50,6.75,6.75,,,,
52000359,5.20,6.25,5.20,,,,,5.75,5.75,7.50,6.33
52000360,7.60,8.00,9.00,,,,,7.50,7.50,9.00,8.00
52000361,7.80,5.75,8.60,,,,,7.25,7.00,7.75,7.33
52000362,7.20,6.00,8.80,6.75,6.50,6.25,6.50,,,,
52000363,7.00,7.75,8.20,7.50,7.25,5.50,6.75,,,,
52000364,7.40,4.50,8.40,7.50,5.50,5.75,6.25,,,,
52000365,8.00,7.50,8.60,,,,,7.75,7.50,9.00,8.08
52000366,8.60,6.50,9.20,9.00,8.25,7.75,8.33,,,,
52000367,7.60,6.75,5.80,6.00,6.00,6.25,6.08,,,,
52000368,6.00,4.75,7.20,6.00,5.00,4.00,5.00,,,,
52000369,8.80,6.00,7.00,7.50,7.25,5.50,6.75,,,,
52000370,7.20,7.75,,,,,,6.50,6.50,7.00,6.67
52000371,8.20,7.25,9.20,8.00,7.25,7.25,7.50,,,,
52000372,8.00,8.50,9.40,,,,,7.75,7.75,9.25,8.25
52000373,8.20,7.50,9.20,7.50,6.25,6.00,6.58,,,,
52000374,7.00,4.50,6.40,7.75,7.25,6.50,7.17,,,,
52000375,7.80,6.25,9.20,9.00,5.50,6.00,6.83,,,,
52000376,7.20,7.75,7.60,,,,,8.50,6.00,9.50,8.00
52000377,7.40,7.00,8.40,4.50,4.50,5.00,4.67,,,,
52000378,7.00,5.50,2.80,,,,,5.00,5.00,8.00,6.00
52000379,8.60,6.50,,8.75,9.50,8.50,8.92,,,,
52000380,7.80,6.50,,5.75,8.75,9.50,8.00,,,,
