SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
52000341,8.6,7.25,8.4,8.5,8.25,7.0,7.92,,,,
52000342,7.2,5.75,5.8,,,,,8.25,7.75,9.5,8.5
52000343,8.0,5.0,7.2,4.75,6.25,5.75,5.58,,,,
52000344,6.2,7.5,5.6,,,,,7.25,7.5,10.0,8.25
52000345,7.4,6.0,8.0,,,,,7.75,6.75,9.0,7.83
52000346,7.4,7.75,9.6,,,,,6.0,5.75,7.75,6.5
52000347,8.2,6.0,,6.5,7.25,5.5,6.42,,,,
52000348,6.6,5.75,6.2,7.0,7.0,7.25,7.08,,,,
52000349,7.0,6.75,4.6,,,,,5.75,7.0,7.75,6.83
52000350,8.8,6.75,8.6,5.75,7.75,7.5,7.0,,,,
52000351,7.0,6.25,5.6,5.25,7.25,6.75,6.42,,,,
52000352,7.8,7.5,,8.75,7.75,8.75,8.42,,,,
52000353,6.6,6.75,5.8,,,,,6.75,6.0,8.25,7.0
52000354,8.4,6.0,7.2,7.5,7.5,6.75,7.25,,,,
52000355,9.0,7.5,,,,,,7.25,6.25,9.0,7.5
52000356,8.4,5.75,,8.0,6.75,9.0,7.92,,,,
52000357,7.8,6.25,9.0,,,,,7.0,6.5,10.0,7.83
52000358,7.8,7.0,9.4,7.0,6.5,6.75,6.75,,,,
52000359,5.2,6.25,5.2,,,,,5.75,5.75,7.5,6.33
52000360,7.6,8.0,9.0,,,,,7.5,7.5,9.0,8.0
52000361,7.8,5.75,8.6,,,,,7.25,7.0,7.75,7.33
52000362,7.2,6.0,8.8,6.75,6.5,6.25,6.5,,,,
52000363,7.0,7.75,8.2,7.5,7.25,5.5,6.75,,,,
52000364,7.4,4.5,8.4,7.5,5.5,5.75,6.25,,,,
52000365,8.0,7.5,8.6,,,,,7.75,7.5,9.0,8.08
52000366,8.6,6.5,9.2,9.0,8.25,7.75,8.33,,,,
52000367,7.6,6.75,5.8,6.0,6.0,6.25,6.08,,,,
52000368,6.0,4.75,7.2,6.0,5.0,4.0,5.0,,,,
52000369,8.8,6.0,7.0,7.5,7.25,5.5,6.75,,,,
52000370,7.2,7.75,,,,,,6.5,6.5,7.0,6.67
52000371,8.2,7.25,9.2,8.0,7.25,7.25,7.5,,,,
52000372,8.0,8.5,9.4,,,,,7.75,7.75,9.25,8.25
52000373,8.2,7.5,9.2,7.5,6.25,6.0,6.58,,,,
52000374,7.0,4.5,6.4,7.75,7.25,6.5,7.17,,,,
52000375,7.8,6.25,9.2,9.0,5.5,6.0,6.83,,,,
52000376,7.2,7.75,7.6,,,,,8.5,6.0,9.5,8.0
52000377,7.4,7.0,8.4,4.5,4.5,5.0,4.67,,,,
52000378,7.0,5.5,2.8,,,,,5.0,5.0,8.0,6.0
